id,name,nationality
1,AGUASCALIENTES,141
2,BAJA CALIFORNIA,141
3,BAJA CALIFORNIA SUR,141
4,CAMPECHE,141
5,COAHUILA DE ZARAGOZA,141
6,COLIMA,141
7,CHIAPAS,141
8,CHIHUAHUA,141
9,CIUDAD DE MEXICO,141
10,DURANGO,141
11,GUANAJUATO,141
12,GUERRERO,141
13,HIDALGO,141
14,JALISCO,141
15,MEXICO,141
16,MICHOACAN DE OCAMPO,141
17,MORELOS,141
18,NAYARIT,141
19,NUEVO LEON,141
20,OAXACA,141
21,PUEBLA,141
22,QUERETARO,141
23,QUINTANA ROO,141
24,SAN LUIS POTOSI,141
25,SINALOA,141
26,SONORA,141
27,TABASCO,141
28,TAMAULIPAS,141
29,TLAXCALA,141
30,VERACRUZ DE IGNACIO DE LA LLAVE,141
31,YUCATAN,141
32,ZACATECAS,141
33,BUENOS AIRES,11
34,CIUDAD AUTONOMA DE BUENOS AIRES,11
35,CATAMARCA,11
36,CHACO,11
37,CHUBUT,11
38,CORDOBA,11
39,CORRIENTES,11
40,ENTRE RIOS,11
41,FORMOSA,11
42,JUJUY,11
43,LA PAMPA,11
44,LA RIOSA,11
45,MENDOZA,11
46,MISIONES,11
47,NEUQUEN,11
48,RIO NEGRO,11
49,SALTA,11
50,SAN JUAN,11
51,SAN LUIS,11
52,SANTA CRUZ,11
53,SANTA FE,11
54,SANTIAGO DEL ESTERO,11
55,TIERRA DEL FUEGO ANTARTIDA E ISLAS DEL ATLANTICO SUR,11
