id,notes,is_active,created,updated,name
5,Encargardo del la gestión de la app,1,2025-01-14 12:27:39,2025-01-14 12:27:39,Administrador
4,Ejecutivo de Tu Voz y No Country,1,2025-01-14 12:27:13,2025-01-14 12:27:44,Ejecutivo
3,Asesor y asistente de VocalTech,1,2025-01-14 12:25:57,2025-01-14 12:25:57,Especialista
2,Este usuario es aquella persona que desea servicios corporativo,1,2025-01-14 12:24:55,2025-01-14 12:24:55,Empresario
1,Requiere servicios personales de VocalTech,1,2025-01-14 12:24:14,2025-01-14 12:24:14,Emprendedor
